"Source: Calculated by ReFED based on data from various sources. See https://insights.refed.com/methodology for more information. Data last updated January 23, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
year,sector,sub_sector,sub_sector_category,food_type,food_category,tons_supply,tons_surplus,us_dollars_surplus,tons_waste,tons_uneaten,tons_eaten,tons_donated,tons_industrial_uses,tons_animal_feed,tons_anaerobically_digested,tons_composted,tons_not_harvested,tons_incineration,tons_land_application,tons_landfilled,tons_dumping,tons_sewer,upstream_mtco2e_footprint,downstream_mtco2e_footprint,total_mtco2e_footprint,gallons_water_footprint,meals_wasted
2019,Farm,Not Applicable,Not Applicable,Produce,Squash,613427.5373,278680.4386,197732398.2,263218.0358,277594.8722,1085.566391,1085.566391,0,14376.83643,0,0,257152.5373,67.15099012,0,503.2481142,5495.099419,0,59680.77254,-41859.51788,17821.25466,7578337838,462658120.5
2019,Farm,Not Applicable,Not Applicable,Produce,Onions,3601132.201,205964.577,62691126.77,136091.4247,192382.1438,13582.43317,13582.43317,0,56290.71913,0,0,106507.2013,549.8865288,0,11377.14954,17657.18725,0,41360.68823,-10563.9797,30796.70853,5252031019,320636906.4
2019,Farm,Not Applicable,Not Applicable,Produce,Cucumbers,1005469.041,307919.0414,135793827.8,307919.0414,307919.0414,0,0,0,0,0,0,307919.0414,0,0,0,0,0,66200.23677,-50867.5984,15332.63837,8406187418,513198402.4
2019,Farm,Not Applicable,Not Applicable,Produce,Spinach,432932.7203,122530.7913,134198872.3,85398.68138,119923.8633,2606.927982,2606.927982,0,34525.18194,0,0,70832.72028,46.9148028,0,1322.867274,13196.17902,0,25782.7126,-10209.89769,15572.81491,3273920530,199873105.6
2019,Farm,Not Applicable,Not Applicable,Produce,Bell Peppers,793235.6593,186510.6593,182945063.9,186510.6593,186510.6593,0,0,0,0,0,0,186510.6593,0,0,0,0,0,40098.36402,-30811.181,9287.183018,5091739540,310851099
2019,Farm,Not Applicable,Not Applicable,Produce,Carrots,2554329.483,149937.3315,53687693.82,89706.25948,138229.1935,11708.13801,11708.13801,0,48522.93398,0,0,64204.48339,283.4601493,0,9997.715733,15220.6002,0,29718.21845,-4547.718678,25170.49977,3773655899,230381989.1
2019,Farm,Not Applicable,Not Applicable,Produce,Grapes,7441096.724,570096.7237,475708259.3,570096.7237,570096.7237,0,0,0,0,0,0,570096.7237,0,0,0,0,0,122566.4315,-94178.81746,28387.61403,15563636092,950161206.3
2019,Farm,Not Applicable,Not Applicable,Produce,Cauliflower,672450.2436,169300.2436,156997862.9,169300.2436,169300.2436,0,0,0,0,0,0,169300.2436,0,0,0,0,0,36398.25638,-27968.05538,8430.201002,4621895324,282167072.7
2019,Farm,Not Applicable,Not Applicable,Produce,Green Beans,887391.8263,83179.33993,44476250.04,66198.11802,81987.14206,1192.197876,1192.197876,0,15789.02404,0,0,59536.82626,115.7582094,0,510.6692538,6034.864296,0,17626.60793,-9152.342704,8474.265227,2238248336,136645236.8
2019,Farm,Not Applicable,Not Applicable,Produce,Avocados,184817.2754,69849.35812,205865971,55020.19444,68785.01424,1064.343883,1064.343883,0,13764.8198,0,0,49197.2754,45.74200708,0,526.3335807,5250.843455,0,14788.25151,-7520.069233,7268.182279,1877830350,114641690.4
2019,Farm,Not Applicable,Not Applicable,Produce,Cantaloupe,713935.175,78285.175,37293400.85,78285.175,78285.175,0,0,0,0,0,0,78285.175,0,0,0,0,0,16830.71335,-12932.55144,3898.161909,2137184665,130475291.7
2019,Farm,Not Applicable,Not Applicable,Produce,Strawberries,1508519.272,382519.2721,867656971,382519.2721,382519.2721,0,0,0,0,0,0,382519.2721,0,0,0,0,0,82238.71531,-63191.40456,19047.31076,10442773133,637532120.3
2019,Farm,Not Applicable,Not Applicable,Produce,Peaches,798238.5714,162113.8843,154390961.5,129460.4775,159770.2286,2343.655687,2343.655687,0,30309.75113,0,0,116638.5714,71.14733924,0,1188.547226,11562.21154,0,34349.37612,-17931.65961,16417.7165,4361725991,266283714.4
2019,Farm,Not Applicable,Not Applicable,Produce,Cabbage,1314947.053,476761.0827,225547947.3,428125.5194,473346.5337,3414.549057,3414.549057,0,45221.01426,0,0,409047.0527,231.9866342,0,1562.151191,17284.32889,0,101765.8813,-65618.48607,36147.3952,12922356663,788910889.6
2019,Farm,Not Applicable,Not Applicable,Produce,Oranges,6261961.433,954760.2531,306319280.3,893077.7455,942769.9748,11990.27823,11990.27823,0,49692.22931,0,0,866961.4331,274.662863,0,10254.26661,15587.38299,0,202688.3277,-137015.6816,65672.64608,25737612931,1571283292
2019,Farm,Not Applicable,Not Applicable,Produce,Lemons,1371298.478,409989.6978,280572071.5,381402.3376,404432.6863,5557.011463,5557.011463,0,23030.34865,0,0,369298.4778,126.6441606,0,4753.09096,7224.124771,0,86949.93162,-58131.78892,28818.1427,11041009169,674054477.3
2019,Farm,Not Applicable,Not Applicable,Produce,Cranberries,410120.2975,16384.54542,9313924.028,14866.41631,16275.58368,108.9617368,108.9617368,0,1409.167372,0,0,14270.29754,15.09501838,0,43.47096827,537.5527889,0,3499.125903,-2295.158842,1203.96706,444323307.1,27125972.81
2019,Farm,Not Applicable,Not Applicable,Produce,Papayas,7856.092152,2808.7092,2363140.353,2214.441356,2766.056401,42.65279947,42.65279947,0,551.6150448,0,0,1981.092152,4.179650659,0,18.7458584,210.4236954,0,594.680952,-302.915641,291.765311,75513318.08,4610094.002
2019,Farm,Not Applicable,Not Applicable,Produce,Apples,6970071.657,2060054.784,1036060415,1629956.815,2029185.063,30869.72074,30869.72074,0,399228.2477,0,0,1461071.657,1519.959314,0,15072.24733,152292.9513,0,436259.2551,-223752.6495,212506.6056,55396736333,3381975106
2019,Farm,Not Applicable,Not Applicable,Produce,Cherries,600447.7072,161858.595,294137462.2,128317.9875,159451.2616,2407.333362,2407.333362,0,31133.27418,0,0,115147.7072,77.12076329,0,1216.799999,11876.35954,0,34280.80065,-17649.01154,16631.78912,4353018194,265752102.8
2019,Farm,Not Applicable,Not Applicable,Produce,Pears,927498.559,280063.6343,122833120.2,221496.086,275860.0249,4203.609392,4203.609392,0,54363.93887,0,0,198498.559,149.754454,0,2109.649065,20738.12348,0,59307.79364,-30393.65072,28914.14292,7530976519,459766708.2
2019,Farm,Not Applicable,Not Applicable,Produce,Chili Peppers,114096.1045,45112.22047,34991017.08,35619.75272,44445.78434,666.4361344,666.4361344,0,8826.031619,0,0,31896.10447,2.234904213,0,347.9367456,3373.476597,0,9555.5034,-4887.972786,4667.530614,1213369564,74076307.24
2019,Farm,Not Applicable,Not Applicable,Produce,Peas,263792.9375,11924.67237,3199613.526,11916.24381,11924.08063,0.591742956,0.591742956,0,7.836823019,0,0,11912.9375,0.033909038,0,0.27701589,2.995382318,0,2563.586056,-1967.654223,595.9318334,325527307.8,19873467.72
2019,Farm,Not Applicable,Not Applicable,Produce,Watermelons,3025273.234,1248051.229,375510066.1,1195200.275,1237777.69,10273.53881,10273.53881,0,42577.41452,0,0,1172823.234,754.0246721,0,8267.397806,13355.61869,0,266112.7281,-188426.7381,77685.99,33791321239,2062962817
2019,Farm,Not Applicable,Not Applicable,Produce,Apricots,57559.26875,8557.053096,9656882.501,6907.136203,8438.632463,118.4206332,118.4206332,0,1531.496261,0,0,6259.26875,2.640340402,0,61.00972087,584.2173915,0,1814.241382,-966.4819416,847.7594402,230374600.2,14064387.44
2019,Foodservice,Bars And Taverns,Bars And Taverns,Breads & Bakery,Not Applicable,31107.73291,570.8085973,2698011.696,482.147216,556.4498639,14.35873334,14.35873334,0,1.928236094,0.144754984,72.22965727,0,49.45241098,0,432.694805,0,0,1265.175361,155.5008747,1420.676236,10784249.24,927416.4401
2019,Foodservice,Bars And Taverns,Bars And Taverns,Dairy & Eggs,Not Applicable,14798.3163,271.5403977,1283476.059,229.3631305,264.7097785,6.830619197,6.830619197,0,0.917284705,0.068861657,34.36050185,0,23.52509652,0,205.838034,0,0,1199.769866,24.48690747,1224.256773,66563199.75,441182.9643
2019,Foodservice,Bars And Taverns,Bars And Taverns,Dry Goods,Not Applicable,26451.91261,485.377034,2294206.711,409.9853904,473.167338,12.20969592,12.20969592,0,1.63964159,0.123089851,61.41921649,0,42.0509864,0,367.934404,0,0,1321.102605,81.57525548,1402.677861,45782977.27,788612.2302
2019,Foodservice,Bars And Taverns,Bars And Taverns,Fresh Meat & Seafood,Not Applicable,63043.29867,1156.80744,5467822.346,977.1252385,1127.707862,29.09957846,29.09957846,0,3.907786027,0.29336216,146.3814759,0,100.2208398,0,876.9043987,0,0,13193.93906,156.3901074,13350.32917,1397499058,1879513.103
